"","V2","V7"
"780",21260,"2994.21"
"781",21261,"3561.08"
"782",21263,"5697.72"
"783",21267,"5697.72"
"784",21268,"6627.96"
"785",21270,"1279.08"
"786",21275,"3924.45"
"787",21280,"784.89"
"788",21282,"784.89"
"789",21295,"1729.67"
"790",21296,"1409.9"
"791",21299,"BR"
"792",21300,"232.56"
"793",21310,"145.35"
"794",21315,"122.4"
"795",21320,"377.91"
"796",21325,"413.1"
"797",21330,"915.71"
"798",21335,"1642.46"
"799",21336,"657.82"
"800",21337,"244.8"
"801",21338,"749.7"
"802",21339,"841.5"
"803",21340,"1177.34"
"804",21343,"1223.1"
"805",21344,"2093.04"
"806",21345,"1337.22"
"807",21346,"1497.11"
"808",21347,"2034.9"
"809",21348,"2049.44"
"810",21355,"413.1"
"811",21356,"683.15"
"812",21360,"944.78"
"813",21365,"1264.55"
"814",21366,"1918.62"
"815",21385,"1162.8"
"816",21386,"1409.9"
"817",21387,"1729.67"
"818",21390,"1351.76"
"819",21395,"1744.2"
"820",21400,"203.49"
"821",21401,"321.3"
"822",21406,"1002.92"
"823",21407,"1250.01"
"824",21408,"1424.43"
"825",21421,"770.36"
"826",21422,"872.1"
"827",21423,"1308.15"
"828",21431,"944.78"
"829",21432,"1337.22"
"830",21433,"1962.23"
"831",21435,"2441.88"
"832",21436,"2848.86"
"833",21440,"566.87"
"834",21445,"741.29"
"835",21450,"944.78"
"836",21451,"1104.66"
"837",21452,"1104.66"
"838",21453,"1104.66"
"839",21454,"1177.34"
"840",21461,"1409.9"
"841",21462,"1619.79"
"842",21465,"1875.02"
"843",21470,"2122.11"
"844",21480,"145.35"
"845",21485,"260.1"
"846",21490,"1250.01"
"847",21493,"87.21"
"848",21494,"306"
"849",21495,"959.31"
"850",21497,"712.22"
"851",21499,"BR"
"852",21501,"321.3"
"853",21502,"581.4"
"854",21510,"306"
"855",21550,"107.1"
"856",21555,"229.5"
"857",21556,"494.19"
"858",21557,"2848.86"
"859",21600,"566.87"
"860",21610,"1039.58"
"861",21615,"1424.43"
"862",21616,"1279.08"
"863",21620,"1206.41"
"864",21627,"1787.81"
"865",21630,"1787.81"
"866",21632,"2848.86"
"867",21700,"959.31"
"868",21705,"1162.8"
"869",21720,"770.36"
"870",21725,"872.1"
"871",21740,"2034.9"
"872",21750,"857.57"
"873",21800,"76.5"
"874",21805,"712.22"
"875",21810,"1787.81"
"876",21820,"174.42"
